Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
0009b464-b376-4fbc-8a56-da538269a02f	2673	0.986	571.772	21.391%	100.435	16.775%	0.09722	0.981
003819bc-c415-4e76-887c-931d60ed39e7	467	1.0	42.603	9.123%	16.349	5.125%	1000.0	1.0
0040b1b6-b07a-4b6e-90ef-133523eaf412	659	0.998	105.631	16.029%	18.806	6.257%	0.06275	0.998
00493087-9d9d-40ca-86d5-936f1b951c93	493	1.0	36.303	7.364%	5.993	1.901%	0.05998	1.0
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	858	0.993	204.579	23.844%	39.683	12.181%	0.17926	0.992
005794f1-5a87-45b5-9811-83ddf6924568	486	1.0	33.84	6.963%	7.525	2.347%	0.05291	1.0
005e85a3-3571-462d-8dc9-2babfc7ace21	522	1.0	51.74	9.912%	9.12	2.923%	0.06267	1.0
007aab66-2f07-459d-8952-3041d6ea24a8	461	1.0	28.394	6.159%	10.497	3.279%	1000.0	1.0
008aef39-0c97-48ce-9dfd-f12d67116c59	825	0.995	194.299	23.551%	34.252	10.277%	0.12772	0.995
008bad10-d41b-4bbb-86fa-9976ecea46b1	723	0.998	103.888	14.369%	18.183	5.95%	0.07107	0.998
00aa769d-622c-433e-8a8a-63fb5c41ea42	471	1.0	58.128	12.341%	20.824	6.554%	1000.0	1.0
00b9d0e6-69dc-4345-bffd-ce32880c8eef	486	1.0	61.293	12.612%	24.529	7.565%	1000.0	1.0
00bf0350-8c7c-4b9e-8143-13ea2dc1122f	527	0.999	70.578	13.392%	15.997	4.981%	0.12267	0.999
00c27940-c623-11e3-bf01-24c6515278c0	611	0.999	81.321	13.309%	16.66	5.322%	0.08132	0.999
00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7	765	0.982	271.487	35.488%	58.603	19.217%	0.19778	0.981
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	1982	0.988	438.886	22.144%	73.735	15.76%	0.07736	0.985
01658141-8398-4585-9f0f-8355dd9b0604	2422	0.984	486.25	20.076%	91.877	17.796%	0.09034	0.978
0168a2a6-c3af-4d58-a51c-d33f0fc7876d	517	1.0	47.289	9.147%	8.335	2.603%	0.05032	1.0
0176cf1d-0760-4769-a493-277f4bb7585e	975	0.991	228.276	23.413%	43.816	13.564%	0.13977	0.99
0192d529-7340-45d8-a5f0-249cbb11ca19	736	0.999	110.088	14.958%	17.883	5.712%	0.08584	0.999
01b0848c-ae36-4ade-a3da-d297b003c99f	2012	0.989	363.86	18.084%	66.38	15.097%	0.06872	0.984
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	521	1.0	48.212	9.254%	8.608	2.696%	0.05326	1.0
01dc6872-c623-11e3-bf01-24c6515278c0	672	0.995	164.569	24.489%	34.177	11.013%	0.14458	0.995
01df36af-3617-40fc-9892-f54ce433cf71	1700	0.991	327.41	19.259%	53.99	13.252%	0.07971	0.989
02078f77-2b35-4fa3-ab02-2c017181295e	461	1.0	29.596	6.42%	10.949	3.42%	1000.0	1.0
020fab36-c7de-4933-b2bf-dc7b019a1326	1718	0.969	523.62	30.478%	98.967	24.895%	0.1236	0.959
0250e6f7-2538-4d1f-a8ff-ca34a7057dde	1392	0.96	406.477	29.201%	98.605	28.154%	0.14878	0.949
02706819-bcab-4c49-a569-a4a8c60db1c0	474	1.0	30.512	6.437%	13.293	4.072%	1000.0	1.0
02917220-6a7a-46a1-8656-907e96bef88e	533	0.999	59.286	11.123%	9.943	3.243%	0.0577	0.999
0292a46f-a282-4b7f-a7d6-ac55cc7324fb	464	1.0	36.931	7.959%	13.879	4.351%	1000.0	1.0
02c6a893-49c5-49d1-8eb1-195021e70d52	603	0.998	123.84	20.537%	29.021	9.28%	0.25119	0.998
02c97e2b-914e-4afc-bf50-78f0cfbfa67b	724	0.994	200.378	27.677%	36.097	12.272%	0.15158	0.993
02e5c36f-5bec-45e2-a048-875653b85ca1	775	0.996	167.259	21.582%	28.053	9.198%	0.12191	0.996
030695f6-c623-11e3-bf01-24c6515278c0	883	0.994	195.309	22.119%	34.791	11.31%	0.15624	0.993
031962d6-fc7d-4c6c-9d47-ffa45997b249	487	1.0	60.951	12.516%	24.013	7.381%	1000.0	1.0
0332b017-17d5-4083-8fc4-9d6f8fdbbbde	605	0.996	128.371	21.218%	28.076	8.973%	0.11984	0.996
0363fe2c-d765-450e-8b1a-d13a23d9af2a	476	1.0	41.248	8.666%	14.565	4.453%	1000.0	1.0
0385961e-ea99-40b2-ad79-6872bc30d8a1	479	1.0	41.249	8.611%	9.548	3.004%	0.06156	1.0
03ad38a6-0902-4aaa-84a3-91ea88fa9883	518	1.0	54.697	10.559%	9.858	3.136%	0.07836	0.999
03b5268e-881e-49e7-824f-170c3fc8b11b	631	0.997	138.034	21.875%	25.106	8.26%	0.087	0.996
03c3c692-8a86-4843-85ae-e045f0fa6f88	1705	0.984	335.422	19.673%	63.233	17.718%	0.06043	0.978
03c88506-d72e-4a44-a34e-a7f0564f1799	666	0.999	92.071	13.824%	15.474	4.973%	0.08532	0.999
03ced0ce-186a-4349-8d98-572c2bc90382	1711	0.99	307.818	17.991%	52.023	13.909%	0.1078	0.987
03cff38d-7e29-4409-a508-749bddb1b3df	1419	0.988	313.539	22.096%	54.304	15.773%	0.07425	0.985
041e3b42-c623-11e3-bf01-24c6515278c0	767	0.996	128.915	16.808%	26.197	8.627%	0.08651	0.996
